position,name,height,foot,current league,current club,24/25 minutes,24/25 goals,24/25 games,24/25 assists,23/24 minutes,23/24 goals,23/24 games,23/24 assists,22/23 minutes,22/23 goals,22/23 games,22/23 assists,21/22 minutes,21/22 goals,21/22 games,21/22 assists,20/21 minutes,20/21 goals,20/21 games,20/21 assists,19/20 minutes,19/20 goals,19/20 games,19/20 assists,18/19 minutes,18/19 goals,18/19 games,18/19 assists,17/18 minutes,17/18 goals,17/18 games,17/18 assists,16/17 minutes,16/17 goals,16/17 games,16/17 assists
Forward,Clayton,184.0,right,Liga Portugal,Rio Ave FC,1050.0,6.0,13.0,1.0,2308.0,12.0,38.0,1.0,1390.0,4.0,34.0,0.0,1160.0,5.0,26.0,1.0,1812.0,7.0,30.0,2.0,32.0,0.0,3.0,0.0,,,,,,,,,,,,
Central Midfield,Iver Fossum,180.0,right,Jupiler Pro League,KV Kortrijk,318.0,0.0,11.0,0.0,887.0,1.0,21.0,4.0,2998.0,3.0,37.0,3.0,2820.0,11.0,34.0,8.0,2834.0,9.0,33.0,5.0,3069.0,8.0,36.0,3.0,557.0,0.0,11.0,0.0,1578.0,1.0,22.0,3.0,1534.0,1.0,27.0,2.0
Central Midfield,Umut Tohumcu,175.0,both,Bundesliga,TSG 1899 Hoffenheim,679.0,2.0,15.0,2.0,1588.0,1.0,29.0,3.0,2264.0,5.0,32.0,6.0,1914.0,20.0,23.0,12.0,373.0,1.0,4.0,0.0,1218.0,5.0,19.0,5.0,,,,,,,,,,,,
Left Winger,Jérémie Boga,172.0,right,Ligue 1,OGC Nice,755.0,2.0,12.0,1.0,2101.0,6.0,29.0,6.0,902.0,2.0,25.0,5.0,1749.0,2.0,34.0,4.0,1837.0,4.0,28.0,2.0,2610.0,11.0,35.0,4.0,1475.0,3.0,27.0,1.0,2238.0,2.0,35.0,3.0,1482.0,2.0,27.0,1.0
Forward,Marius Mouandilmadji,190.0,right,Süper Lig,Samsunspor,1025.0,3.0,13.0,3.0,2183.0,10.0,31.0,2.0,2015.0,11.0,28.0,1.0,1691.0,3.0,35.0,2.0,,,,,882.0,1.0,17.0,1.0,1441.0,6.0,20.0,2.0,,,,,,,,
Central Midfield,Matus Bero,181.0,right,Bundesliga,VfL Bochum,834.0,2.0,10.0,0.0,1944.0,1.0,27.0,2.0,2837.0,5.0,32.0,4.0,3878.0,5.0,45.0,4.0,2647.0,3.0,31.0,5.0,2227.0,3.0,26.0,4.0,2910.0,11.0,38.0,3.0,945.0,1.0,19.0,4.0,2095.0,3.0,32.0,5.0
Central Midfield,Shiloh 't Zand,177.0,right,Eredivisie,Heracles Almelo,831.0,0.0,14.0,0.0,2405.0,11.0,39.0,5.0,1148.0,6.0,20.0,1.0,1305.0,8.0,19.0,4.0,325.0,4.0,4.0,1.0,851.0,2.0,13.0,5.0,239.0,3.0,4.0,0.0,,,,,,,,
Central Midfield,Wendel,180.0,right,Premier Liga,Zenit St. Petersburg,1282.0,2.0,17.0,11.0,2894.0,4.0,35.0,10.0,2618.0,9.0,33.0,5.0,2807.0,4.0,35.0,5.0,1608.0,2.0,23.0,3.0,3217.0,3.0,39.0,3.0,2550.0,3.0,33.0,5.0,114.0,0.0,4.0,0.0,4297.0,7.0,56.0,2.0
Forward,Karim Onisiwo,188.0,right,Bundesliga,1.FSV Mainz 05,187.0,0.0,6.0,0.0,1677.0,1.0,26.0,3.0,2718.0,10.0,34.0,5.0,2541.0,7.0,33.0,10.0,1962.0,4.0,32.0,3.0,1813.0,4.0,33.0,7.0,1242.0,7.0,27.0,3.0,365.0,0.0,10.0,0.0,1366.0,1.0,22.0,0.0
Left Winger,Federico Accornero,,right,Serie A,Genoa CFC,4.0,0.0,1.0,0.0,1916.0,5.0,32.0,4.0,2785.0,21.0,34.0,2.0,1946.0,0.0,33.0,4.0,1107.0,8.0,15.0,2.0,,,,,,,,,,,,,,,,
Attacking Midfield,Alessio da Cruz,186.0,right,Eredivisie,Fortuna Sittard,252.0,1.0,6.0,0.0,452.0,1.0,17.0,1.0,2210.0,4.0,34.0,3.0,2119.0,5.0,31.0,2.0,1643.0,4.0,24.0,3.0,2093.0,6.0,33.0,9.0,1072.0,2.0,18.0,1.0,1806.0,5.0,25.0,5.0,2245.0,6.0,32.0,2.0
Attacking Midfield,Lennard Hens,182.0,right,Jupiler Pro League,FCV Dender EH,672.0,0.0,13.0,1.0,2432.0,5.0,28.0,11.0,2263.0,3.0,30.0,5.0,2938.0,8.0,35.0,0.0,90.0,0.0,1.0,0.0,1887.0,10.0,22.0,0.0,2360.0,8.0,28.0,0.0,108.0,0.0,2.0,0.0,,,,
Left Winger,Christopher Lungoyi,182.0,left,Süper Lig,Gaziantep FK,738.0,2.0,9.0,0.0,1576.0,4.0,27.0,3.0,1025.0,1.0,29.0,2.0,843.0,6.0,29.0,1.0,1052.0,4.0,29.0,1.0,478.0,2.0,12.0,2.0,,,,,1168.0,8.0,18.0,0.0,1279.0,7.0,22.0,0.0
Central Midfield,Morgan Sanson,180.0,right,Ligue 1,OGC Nice,,,,,2225.0,4.0,32.0,3.0,1508.0,2.0,21.0,2.0,439.0,0.0,12.0,1.0,1525.0,2.0,28.0,3.0,2411.0,5.0,30.0,5.0,2700.0,5.0,37.0,4.0,3854.0,12.0,53.0,3.0,3185.0,4.0,39.0,14.0
