position,name,height,foot,current league,current club,24/25 minutes,24/25 goals,24/25 games,24/25 assists,23/24 minutes,23/24 goals,23/24 games,23/24 assists,22/23 minutes,22/23 goals,22/23 games,22/23 assists,21/22 minutes,21/22 goals,21/22 games,21/22 assists,20/21 minutes,20/21 goals,20/21 games,20/21 assists,19/20 minutes,19/20 goals,19/20 games,19/20 assists,18/19 minutes,18/19 goals,18/19 games,18/19 assists,17/18 minutes,17/18 goals,17/18 games,17/18 assists,16/17 minutes,16/17 goals,16/17 games,16/17 assists
Forward,Robert Lewandowski,185.0,right,LaLiga,FC Barcelona,1572.0,22.0,19.0,2.0,3800.0,26.0,49.0,9.0,3954.0,33.0,46.0,8.0,4006.0,50.0,46.0,7.0,3389.0,48.0,40.0,9.0,4134.0,55.0,47.0,10.0,4180.0,40.0,47.0,13.0,3787.0,41.0,48.0,5.0,4021.0,43.0,47.0,9.0
Forward,Kylian Mbappé,178.0,right,LaLiga,Real Madrid,1502.0,9.0,18.0,2.0,3869.0,44.0,48.0,10.0,3564.0,41.0,43.0,10.0,3912.0,39.0,46.0,26.0,3720.0,42.0,47.0,11.0,2718.0,30.0,37.0,18.0,3521.0,39.0,43.0,17.0,3554.0,21.0,46.0,16.0,2788.0,28.0,46.0,14.0
Forward,Harry Kane,188.0,right,Bundesliga,Bayern Munich,1455.0,20.0,18.0,9.0,3934.0,44.0,45.0,12.0,4302.0,32.0,49.0,5.0,4250.0,27.0,50.0,10.0,3982.0,33.0,49.0,17.0,3040.0,24.0,34.0,2.0,3342.0,24.0,40.0,6.0,3953.0,41.0,48.0,5.0,3154.0,35.0,38.0,7.0
Right Winger,Mohamed Salah,175.0,left,Premier League,Liverpool FC,1529.0,12.0,19.0,10.0,3132.0,25.0,44.0,14.0,4301.0,30.0,51.0,16.0,4014.0,31.0,51.0,15.0,4178.0,31.0,51.0,6.0,4091.0,23.0,48.0,13.0,4342.0,27.0,52.0,10.0,4119.0,44.0,52.0,15.0,3186.0,19.0,41.0,15.0
Forward,Erling Haaland,195.0,left,Premier League,Manchester City,1582.0,17.0,18.0,0.0,3745.0,38.0,45.0,5.0,4131.0,52.0,53.0,9.0,2388.0,29.0,30.0,8.0,3540.0,41.0,41.0,12.0,2754.0,44.0,40.0,10.0,556.0,5.0,10.0,1.0,1625.0,12.0,26.0,4.0,644.0,4.0,20.0,1.0
Forward,Ciro Immobile,185.0,right,Süper Lig,Besiktas JK,1357.0,12.0,18.0,0.0,2359.0,11.0,43.0,1.0,2735.0,14.0,38.0,7.0,3356.0,32.0,40.0,4.0,3299.0,25.0,41.0,8.0,3685.0,39.0,44.0,8.0,3694.0,19.0,46.0,12.0,3725.0,41.0,47.0,9.0,3517.0,26.0,41.0,5.0
Forward,Romelu Lukaku,191.0,left,Serie A,SSC Napoli,815.0,5.0,12.0,5.0,3908.0,21.0,47.0,4.0,1988.0,14.0,37.0,7.0,2750.0,15.0,44.0,1.0,3565.0,30.0,44.0,10.0,4189.0,34.0,51.0,6.0,3001.0,15.0,45.0,3.0,4072.0,27.0,51.0,9.0,3447.0,26.0,39.0,7.0
Forward,Edin Dzeko,193.0,right,Süper Lig,Fenerbahce,1300.0,12.0,21.0,3.0,3288.0,25.0,46.0,10.0,2893.0,14.0,52.0,5.0,3372.0,17.0,49.0,10.0,2425.0,13.0,38.0,5.0,3539.0,19.0,43.0,14.0,3170.0,14.0,40.0,10.0,4112.0,24.0,49.0,7.0,4041.0,39.0,51.0,14.0
Forward,Mauro Icardi,181.0,right,Süper Lig,Galatasaray,1072.0,6.0,14.0,2.0,3911.0,32.0,47.0,12.0,2004.0,23.0,26.0,8.0,1310.0,5.0,30.0,0.0,1732.0,13.0,28.0,6.0,2185.0,20.0,34.0,4.0,2974.0,17.0,37.0,5.0,3130.0,29.0,36.0,1.0,3427.0,26.0,41.0,8.0
Forward,Alexandre Lacazette,175.0,right,Ligue 1,Olympique Lyon,1062.0,5.0,15.0,2.0,2719.0,22.0,35.0,5.0,3198.0,31.0,39.0,6.0,2103.0,6.0,36.0,8.0,2450.0,17.0,43.0,3.0,2581.0,12.0,39.0,6.0,3330.0,19.0,49.0,11.0,2758.0,17.0,39.0,5.0,3477.0,37.0,45.0,5.0
Forward,Antoine Griezmann,176.0,left,LaLiga,Atlético de Madrid,1418.0,6.0,20.0,6.0,3917.0,24.0,48.0,8.0,3625.0,16.0,48.0,19.0,2524.0,8.0,39.0,7.0,3904.0,20.0,51.0,13.0,3501.0,15.0,48.0,4.0,4068.0,21.0,48.0,10.0,3872.0,29.0,49.0,15.0,4559.0,26.0,53.0,12.0
Forward,Paul Onuachu,201.0,right,Premier League,Southampton FC,134.0,0.0,7.0,0.0,1803.0,17.0,26.0,4.0,1861.0,17.0,33.0,0.0,3206.0,23.0,43.0,3.0,3271.0,35.0,41.0,5.0,1839.0,10.0,28.0,2.0,3110.0,22.0,40.0,6.0,2180.0,17.0,32.0,8.0,3479.0,23.0,45.0,4.0
Forward,Youssoufa Moukoko,179.0,left,Ligue 1,OGC Nice,483.0,2.0,11.0,2.0,758.0,6.0,27.0,0.0,1600.0,7.0,35.0,6.0,484.0,3.0,24.0,2.0,804.0,16.0,19.0,1.0,2445.0,38.0,28.0,10.0,2415.0,50.0,28.0,9.0,2376.0,40.0,28.0,7.0,,,,
Forward,Lautaro Martínez,174.0,right,Serie A,Inter Milan,1120.0,6.0,16.0,4.0,3461.0,27.0,44.0,7.0,4118.0,28.0,57.0,11.0,3293.0,25.0,49.0,4.0,3256.0,19.0,48.0,11.0,3595.0,21.0,49.0,8.0,1763.0,9.0,35.0,2.0,2393.0,18.0,28.0,5.0,1470.0,9.0,28.0,1.0
Forward,Mehdi Taremi,185.0,right,Serie A,Inter Milan,632.0,1.0,15.0,3.0,2355.0,11.0,35.0,7.0,3823.0,31.0,51.0,14.0,3597.0,26.0,48.0,17.0,3022.0,23.0,48.0,18.0,2871.0,21.0,37.0,5.0,2177.0,10.0,25.0,5.0,1773.0,14.0,24.0,8.0,3159.0,25.0,39.0,6.0
Left Winger,Heung-min Son,184.0,both,Premier League,Tottenham Hotspur,951.0,4.0,13.0,4.0,2967.0,17.0,36.0,10.0,3788.0,14.0,47.0,6.0,3526.0,24.0,45.0,8.0,3997.0,22.0,51.0,17.0,3176.0,18.0,41.0,11.0,3292.0,20.0,48.0,9.0,3380.0,18.0,53.0,11.0,2976.0,21.0,47.0,7.0
Forward,Viktor Gyökeres,187.0,right,Liga Portugal,Sporting CP,1640.0,24.0,20.0,4.0,4169.0,43.0,50.0,15.0,4377.0,22.0,50.0,12.0,3722.0,18.0,47.0,5.0,1363.0,5.0,34.0,1.0,1825.0,7.0,28.0,4.0,2113.0,7.0,27.0,5.0,744.0,7.0,10.0,0.0,3093.0,24.0,40.0,10.0
Attacking Midfield,Bruno Fernandes,179.0,right,Premier League,Manchester United,1580.0,4.0,19.0,7.0,4285.0,15.0,48.0,13.0,5165.0,14.0,59.0,14.0,3861.0,10.0,46.0,14.0,4585.0,28.0,58.0,17.0,4307.0,27.0,50.0,22.0,4688.0,32.0,53.0,18.0,4708.0,16.0,56.0,18.0,1845.0,5.0,35.0,3.0
Forward,Luuk de Jong,188.0,right,Eredivisie,PSV Eindhoven,1220.0,8.0,17.0,4.0,3952.0,38.0,48.0,18.0,2877.0,18.0,39.0,10.0,937.0,7.0,29.0,1.0,2140.0,9.0,48.0,1.0,2705.0,10.0,46.0,4.0,3891.0,32.0,43.0,10.0,2494.0,13.0,33.0,12.0,3388.0,9.0,39.0,8.0
Forward,Jamie Vardy,179.0,right,Premier League,Leicester City,926.0,4.0,11.0,1.0,1926.0,20.0,37.0,2.0,2206.0,6.0,42.0,5.0,2238.0,17.0,33.0,2.0,3421.0,17.0,42.0,9.0,3428.0,23.0,40.0,7.0,2884.0,18.0,36.0,4.0,3543.0,23.0,42.0,1.0,3822.0,16.0,48.0,6.0
Forward,Ollie Watkins,180.0,right,Premier League,Aston Villa,1251.0,6.0,17.0,3.0,4323.0,27.0,53.0,13.0,3315.0,16.0,40.0,6.0,3045.0,11.0,36.0,2.0,3439.0,16.0,40.0,5.0,4456.0,26.0,50.0,3.0,3464.0,12.0,45.0,9.0,3713.0,11.0,48.0,5.0,4318.0,16.0,52.0,13.0
Left Winger,Raheem Sterling,170.0,right,Premier League,Arsenal FC,340.0,1.0,9.0,2.0,2759.0,10.0,43.0,8.0,2562.0,9.0,38.0,4.0,3089.0,17.0,47.0,8.0,3704.0,14.0,49.0,10.0,4019.0,31.0,52.0,5.0,4097.0,25.0,51.0,14.0,3569.0,23.0,46.0,13.0,3627.0,10.0,47.0,15.0
Forward,Iago Aspas,176.0,left,LaLiga,Celta de Vigo,981.0,4.0,13.0,3.0,2743.0,9.0,36.0,10.0,2961.0,12.0,39.0,4.0,3118.0,17.0,38.0,7.0,2899.0,14.0,34.0,15.0,3323.0,14.0,38.0,3.0,2372.0,21.0,29.0,6.0,3092.0,23.0,37.0,5.0,3608.0,26.0,49.0,8.0
Forward,Cristhian Stuani,184.0,right,LaLiga,Girona FC,329.0,4.0,15.0,0.0,1218.0,14.0,36.0,3.0,1225.0,10.0,34.0,0.0,2926.0,24.0,42.0,2.0,1818.0,10.0,29.0,2.0,3524.0,31.0,40.0,3.0,2872.0,20.0,34.0,0.0,2724.0,21.0,33.0,0.0,1611.0,5.0,28.0,0.0
Left Winger,Timo Werner,180.0,right,Premier League,Tottenham Hotspur,551.0,1.0,15.0,2.0,1291.0,4.0,28.0,4.0,2820.0,16.0,40.0,6.0,2217.0,11.0,37.0,6.0,3831.0,12.0,52.0,11.0,3589.0,34.0,45.0,13.0,3103.0,19.0,37.0,10.0,3398.0,21.0,45.0,10.0,2465.0,21.0,32.0,7.0
Forward,Wout Weghorst,197.0,right,Eredivisie,Ajax Amsterdam,458.0,4.0,12.0,1.0,2166.0,7.0,30.0,4.0,3154.0,11.0,49.0,7.0,3499.0,9.0,44.0,4.0,3537.0,25.0,41.0,9.0,3711.0,20.0,43.0,5.0,3118.0,18.0,36.0,7.0,3302.0,27.0,37.0,8.0,3321.0,18.0,49.0,5.0
Left Winger,Dusan Tadic,181.0,left,Süper Lig,Fenerbahce,1628.0,8.0,21.0,9.0,4437.0,16.0,56.0,16.0,4073.0,13.0,47.0,21.0,3932.0,16.0,45.0,22.0,4046.0,22.0,51.0,25.0,3672.0,16.0,42.0,21.0,4797.0,38.0,56.0,23.0,3191.0,7.0,41.0,4.0,3107.0,3.0,44.0,7.0
Forward,Álvaro Morata,189.0,right,Serie A,AC Milan,879.0,3.0,13.0,2.0,2968.0,21.0,48.0,5.0,2496.0,15.0,45.0,3.0,3205.0,12.0,48.0,9.0,2824.0,20.0,44.0,12.0,2801.0,16.0,44.0,5.0,2709.0,15.0,41.0,1.0,2795.0,15.0,48.0,6.0,1874.0,20.0,43.0,6.0
Second Striker,Dries Mertens,169.0,right,Süper Lig,Galatasaray,1298.0,4.0,20.0,7.0,3331.0,12.0,51.0,19.0,2258.0,7.0,33.0,4.0,1737.0,13.0,37.0,2.0,1924.0,10.0,38.0,9.0,2488.0,16.0,42.0,11.0,3020.0,19.0,47.0,12.0,3807.0,22.0,49.0,12.0,3215.0,34.0,46.0,13.0
Forward,Brian Brobbey,182.0,right,Eredivisie,Ajax Amsterdam,899.0,3.0,19.0,5.0,3369.0,22.0,43.0,12.0,2140.0,14.0,45.0,4.0,809.0,8.0,28.0,4.0,1495.0,15.0,36.0,6.0,984.0,9.0,18.0,1.0,3105.0,34.0,38.0,6.0,1943.0,32.0,27.0,7.0,183.0,0.0,5.0,0.0
Forward,Ivan Sergeev,184.0,right,Premier Liga,Krylya Sovetov Samara,1018.0,1.0,16.0,1.0,1969.0,11.0,39.0,5.0,1533.0,14.0,34.0,6.0,2270.0,13.0,35.0,9.0,3768.0,43.0,49.0,10.0,2560.0,17.0,31.0,2.0,2169.0,18.0,30.0,3.0,1739.0,17.0,25.0,3.0,946.0,2.0,11.0,3.0
Forward,Borja Iglesias,187.0,right,LaLiga,Celta de Vigo,707.0,4.0,14.0,0.0,1288.0,2.0,28.0,2.0,2653.0,15.0,43.0,5.0,2774.0,19.0,51.0,1.0,1616.0,13.0,32.0,0.0,2312.0,6.0,40.0,5.0,3499.0,20.0,43.0,3.0,3735.0,23.0,43.0,6.0,3491.0,34.0,39.0,1.0
Forward,Jonathan David,178.0,both,Ligue 1,LOSC Lille,1636.0,13.0,21.0,2.0,3615.0,26.0,47.0,9.0,3420.0,26.0,40.0,4.0,3657.0,19.0,48.0,0.0,3046.0,13.0,48.0,5.0,3260.0,23.0,40.0,10.0,2289.0,14.0,43.0,5.0,0.0,0.0,0.0,0.0,,,,
Forward,Deniz Undav,179.0,both,Bundesliga,VfB Stuttgart,1030.0,7.0,16.0,1.0,2339.0,19.0,33.0,10.0,923.0,8.0,30.0,1.0,3473.0,27.0,41.0,13.0,2239.0,18.0,29.0,5.0,2812.0,17.0,35.0,13.0,1839.0,7.0,38.0,2.0,1449.0,9.0,18.0,4.0,3067.0,21.0,35.0,11.0
Forward,Andrej Kramaric,177.0,right,Bundesliga,TSG 1899 Hoffenheim,1322.0,5.0,16.0,2.0,2297.0,17.0,31.0,6.0,2536.0,12.0,34.0,3.0,2938.0,8.0,35.0,11.0,2763.0,25.0,34.0,6.0,1513.0,12.0,20.0,4.0,2976.0,22.0,37.0,5.0,2928.0,13.0,42.0,9.0,2584.0,18.0,36.0,8.0
Forward,Vangelis Pavlidis,186.0,both,Liga Portugal,SL Benfica,1192.0,6.0,17.0,3.0,4134.0,33.0,46.0,6.0,3125.0,22.0,40.0,14.0,3887.0,25.0,51.0,7.0,3204.0,14.0,37.0,5.0,2336.0,13.0,28.0,4.0,1858.0,8.0,32.0,9.0,1244.0,5.0,17.0,0.0,1630.0,6.0,22.0,6.0
Forward,Gerard Moreno,180.0,left,LaLiga,Villarreal CF,116.0,1.0,3.0,1.0,2771.0,11.0,38.0,8.0,1718.0,11.0,29.0,6.0,1912.0,13.0,27.0,6.0,3591.0,30.0,46.0,11.0,2917.0,20.0,37.0,6.0,3088.0,13.0,49.0,3.0,3884.0,19.0,44.0,2.0,3400.0,13.0,38.0,4.0
Forward,Tammy Abraham,194.0,right,Serie A,AC Milan,565.0,3.0,12.0,3.0,321.0,1.0,12.0,1.0,3186.0,9.0,54.0,7.0,4257.0,27.0,53.0,5.0,1535.0,12.0,32.0,5.0,2960.0,18.0,47.0,5.0,3561.0,26.0,42.0,3.0,2244.0,8.0,39.0,4.0,3743.0,26.0,48.0,4.0
Left Winger,Marcus Rashford,185.0,right,Premier League,Manchester United,1293.0,5.0,20.0,3.0,3057.0,8.0,43.0,5.0,4304.0,30.0,56.0,9.0,1657.0,5.0,32.0,2.0,4148.0,21.0,57.0,13.0,3473.0,22.0,44.0,9.0,3292.0,13.0,47.0,7.0,2680.0,13.0,52.0,8.0,3070.0,11.0,53.0,5.0
Second Striker,Paulo Dybala,177.0,left,Serie A,AS Roma,672.0,2.0,14.0,1.0,2671.0,16.0,39.0,10.0,2506.0,18.0,38.0,8.0,2615.0,15.0,39.0,6.0,1363.0,5.0,26.0,3.0,2910.0,17.0,46.0,14.0,2820.0,10.0,42.0,2.0,3378.0,26.0,46.0,7.0,3370.0,19.0,48.0,9.0
Forward,Ercan Kara,192.0,right,Süper Lig,Samsunspor,29.0,0.0,3.0,0.0,1080.0,4.0,25.0,1.0,942.0,6.0,19.0,1.0,4665.0,26.0,66.0,7.0,3314.0,20.0,43.0,11.0,2033.0,18.0,27.0,4.0,2457.0,22.0,29.0,6.0,2505.0,27.0,30.0,6.0,328.0,5.0,4.0,0.0
Forward,Arthur Cabral,186.0,right,Liga Portugal,SL Benfica,398.0,4.0,14.0,1.0,1965.0,11.0,43.0,3.0,2551.0,17.0,48.0,2.0,3406.0,29.0,47.0,10.0,3010.0,20.0,36.0,3.0,2546.0,18.0,39.0,6.0,233.0,1.0,5.0,0.0,3768.0,24.0,55.0,2.0,530.0,4.0,18.0,0.0
Left Winger,Ricardo Horta,173.0,right,Liga Portugal,SC Braga,2044.0,5.0,25.0,3.0,3673.0,13.0,45.0,14.0,3792.0,17.0,45.0,10.0,4317.0,23.0,49.0,10.0,3600.0,15.0,48.0,8.0,4020.0,24.0,50.0,7.0,2724.0,10.0,44.0,5.0,2758.0,12.0,43.0,8.0,2758.0,9.0,44.0,9.0
Right Winger,Anders Dreyer,174.0,left,Jupiler Pro League,RSC Anderlecht,1507.0,3.0,20.0,7.0,3164.0,21.0,39.0,9.0,4024.0,15.0,47.0,8.0,3076.0,18.0,36.0,8.0,3322.0,11.0,45.0,11.0,2319.0,10.0,38.0,11.0,2201.0,6.0,29.0,8.0,2639.0,21.0,35.0,8.0,1915.0,22.0,26.0,0.0
Forward,Sébastien Haller,190.0,right,LaLiga,CD Leganés,405.0,0.0,8.0,0.0,524.0,3.0,19.0,1.0,1443.0,9.0,22.0,5.0,3494.0,34.0,43.0,9.0,3090.0,20.0,42.0,7.0,2476.0,7.0,35.0,1.0,3122.0,20.0,41.0,12.0,2731.0,13.0,36.0,7.0,3525.0,16.0,39.0,5.0
Forward,Victor Osimhen,186.0,right,Süper Lig,Galatasaray,825.0,8.0,11.0,5.0,2476.0,17.0,32.0,4.0,3022.0,31.0,39.0,5.0,2315.0,18.0,32.0,6.0,1866.0,10.0,30.0,3.0,3012.0,18.0,38.0,6.0,2935.0,20.0,36.0,4.0,289.0,0.0,13.0,0.0,46.0,0.0,3.0,0.0
Attacking Midfield,Hans Vanaken,195.0,right,Jupiler Pro League,Club Brugge KV,1936.0,6.0,22.0,7.0,5199.0,12.0,59.0,11.0,4514.0,14.0,51.0,7.0,4219.0,15.0,50.0,12.0,3756.0,16.0,45.0,7.0,4116.0,17.0,47.0,3.0,4398.0,17.0,50.0,19.0,3936.0,14.0,48.0,17.0,3884.0,10.0,48.0,4.0
Forward,Krzysztof Piatek,183.0,right,Süper Lig,Basaksehir FK,1600.0,13.0,22.0,1.0,2747.0,17.0,36.0,1.0,2143.0,4.0,33.0,5.0,1307.0,7.0,28.0,1.0,1637.0,7.0,32.0,2.0,2371.0,10.0,36.0,2.0,3410.0,30.0,42.0,1.0,3279.0,21.0,38.0,4.0,2619.0,12.0,39.0,3.0
Left Winger,Marco Grüll,182.0,both,Bundesliga,SV Werder Bremen,421.0,1.0,11.0,0.0,3101.0,21.0,39.0,12.0,3244.0,9.0,42.0,10.0,4078.0,16.0,51.0,10.0,2834.0,11.0,33.0,6.0,2738.0,14.0,32.0,17.0,2851.0,25.0,32.0,14.0,2578.0,15.0,30.0,0.0,2671.0,8.0,30.0,0.0
Forward,Duván Zapata,188.0,right,Serie A,Torino FC,724.0,4.0,9.0,0.0,3083.0,13.0,38.0,4.0,1510.0,2.0,27.0,5.0,2314.0,13.0,32.0,7.0,3207.0,19.0,49.0,14.0,2359.0,19.0,33.0,9.0,3657.0,28.0,48.0,8.0,2205.0,11.0,32.0,4.0,3244.0,11.0,39.0,5.0
Right Winger,Steven Berghuis,182.0,left,Eredivisie,Ajax Amsterdam,537.0,1.0,12.0,3.0,2128.0,8.0,29.0,10.0,3073.0,11.0,42.0,11.0,3367.0,12.0,46.0,14.0,3516.0,21.0,41.0,16.0,3352.0,22.0,38.0,11.0,3524.0,13.0,40.0,13.0,3585.0,23.0,43.0,17.0,2547.0,8.0,38.0,7.0
Forward,Dušan Vlahović,190.0,left,Serie A,Juventus FC,1295.0,9.0,16.0,1.0,2609.0,18.0,38.0,3.0,2946.0,14.0,42.0,4.0,3680.0,29.0,45.0,6.0,3091.0,21.0,40.0,2.0,1893.0,9.0,35.0,2.0,1946.0,19.0,31.0,1.0,,,,,180.0,0.0,9.0,0.0
Forward,Alexander Sørloth,195.0,left,LaLiga,Atlético de Madrid,904.0,5.0,19.0,2.0,2954.0,26.0,41.0,6.0,3154.0,16.0,47.0,4.0,2247.0,8.0,44.0,1.0,1721.0,6.0,37.0,3.0,4076.0,33.0,49.0,11.0,2366.0,6.0,38.0,4.0,2172.0,15.0,30.0,9.0,1202.0,4.0,30.0,3.0
Right Winger,Donyell Malen,176.0,right,Bundesliga,Borussia Dortmund,816.0,4.0,16.0,1.0,2378.0,15.0,38.0,5.0,2193.0,10.0,35.0,8.0,2312.0,9.0,38.0,6.0,3559.0,27.0,45.0,10.0,2085.0,17.0,25.0,9.0,1331.0,11.0,42.0,5.0,1749.0,13.0,28.0,3.0,2513.0,12.0,35.0,7.0
Right Winger,Jarrod Bowen,176.0,left,Premier League,West Ham United,1227.0,4.0,14.0,3.0,3842.0,20.0,44.0,10.0,4246.0,13.0,54.0,8.0,4090.0,18.0,51.0,11.0,2644.0,8.0,40.0,6.0,3679.0,18.0,45.0,10.0,3953.0,22.0,46.0,4.0,3464.0,15.0,44.0,3.0,328.0,0.0,9.0,1.0
Forward,André Silva,185.0,right,Bundesliga,RB Leipzig,202.0,0.0,8.0,2.0,1063.0,4.0,26.0,0.0,2582.0,9.0,44.0,9.0,3220.0,17.0,51.0,8.0,2953.0,29.0,34.0,10.0,2567.0,16.0,38.0,5.0,2839.0,11.0,40.0,3.0,1965.0,10.0,40.0,2.0,3400.0,21.0,44.0,8.0
Forward,Mirlind Daku,192.0,right,Premier Liga,Rubin Kazan,1404.0,8.0,17.0,4.0,2598.0,10.0,33.0,4.0,3166.0,22.0,37.0,2.0,1833.0,9.0,32.0,5.0,3098.0,31.0,35.0,2.0,1243.0,8.0,26.0,0.0,765.0,2.0,15.0,0.0,2819.0,20.0,33.0,4.0,1520.0,7.0,21.0,4.0
Forward,Andrea Belotti,181.0,right,Serie A,Como 1907,370.0,1.0,11.0,0.0,2571.0,10.0,46.0,3.0,2001.0,4.0,46.0,2.0,1417.0,8.0,23.0,1.0,2925.0,13.0,36.0,7.0,3764.0,22.0,44.0,4.0,3480.0,17.0,39.0,1.0,2951.0,13.0,35.0,5.0,3297.0,28.0,38.0,5.0
Forward,Gabriel Jesus,175.0,right,Premier League,Arsenal FC,579.0,1.0,16.0,1.0,1910.0,8.0,36.0,8.0,2347.0,11.0,33.0,7.0,2570.0,13.0,41.0,12.0,2835.0,14.0,42.0,4.0,3306.0,23.0,53.0,14.0,2255.0,21.0,47.0,6.0,2596.0,17.0,42.0,4.0,741.0,7.0,11.0,5.0
Forward,Michy Batshuayi,185.0,right,Süper Lig,Galatasaray,551.0,6.0,19.0,2.0,1865.0,24.0,43.0,3.0,1860.0,20.0,32.0,2.0,3155.0,14.0,42.0,5.0,897.0,2.0,20.0,1.0,747.0,8.0,25.0,3.0,1965.0,9.0,36.0,0.0,2329.0,21.0,40.0,3.0,796.0,11.0,29.0,3.0
Left Winger,Vinicius Junior,176.0,right,LaLiga,Real Madrid,1522.0,12.0,18.0,8.0,3084.0,24.0,39.0,11.0,4759.0,23.0,55.0,21.0,4275.0,22.0,52.0,20.0,2722.0,6.0,49.0,7.0,1818.0,5.0,38.0,4.0,2170.0,7.0,36.0,13.0,2266.0,10.0,32.0,4.0,1067.0,4.0,37.0,1.0
Forward,Chris Wood,191.0,right,Premier League,Nottingham Forest,924.0,8.0,12.0,0.0,2195.0,15.0,35.0,1.0,1055.0,4.0,29.0,0.0,2885.0,5.0,38.0,0.0,2955.0,12.0,37.0,4.0,2606.0,14.0,35.0,1.0,2970.0,13.0,46.0,3.0,2000.0,12.0,29.0,2.0,3847.0,30.0,48.0,4.0
Forward,Marvin Ducksch,188.0,right,Bundesliga,SV Werder Bremen,1076.0,4.0,13.0,5.0,2773.0,13.0,34.0,10.0,2956.0,12.0,35.0,9.0,3006.0,23.0,34.0,11.0,2767.0,16.0,36.0,8.0,2071.0,15.0,29.0,6.0,1041.0,4.0,19.0,1.0,3046.0,19.0,37.0,12.0,1597.0,7.0,29.0,4.0
Forward,Diogo Jota,178.0,right,Premier League,Liverpool FC,653.0,4.0,10.0,2.0,1711.0,15.0,32.0,4.0,1396.0,7.0,28.0,8.0,3573.0,21.0,55.0,6.0,1764.0,13.0,30.0,1.0,3060.0,16.0,48.0,6.0,2630.0,10.0,37.0,7.0,3672.0,18.0,46.0,6.0,2058.0,9.0,38.0,7.0
Forward,Folarin Balogun,178.0,right,Ligue 1,AS Monaco,496.0,3.0,9.0,1.0,1943.0,8.0,32.0,7.0,3146.0,22.0,39.0,3.0,2331.0,18.0,38.0,6.0,1804.0,12.0,26.0,4.0,1290.0,10.0,16.0,4.0,1922.0,28.0,28.0,5.0,1604.0,12.0,25.0,3.0,45.0,0.0,1.0,0.0
Forward,Haris Tabakovic,194.0,right,Bundesliga,TSG 1899 Hoffenheim,668.0,2.0,15.0,1.0,3094.0,27.0,39.0,7.0,2290.0,19.0,39.0,4.0,2083.0,28.0,25.0,4.0,1933.0,18.0,23.0,7.0,724.0,2.0,21.0,4.0,,,,,1323.0,13.0,25.0,3.0,978.0,3.0,27.0,0.0
Left Winger,Cody Gakpo,193.0,right,Premier League,Liverpool FC,916.0,7.0,19.0,2.0,3017.0,16.0,53.0,6.0,3819.0,20.0,50.0,20.0,3406.0,21.0,47.0,15.0,2146.0,11.0,29.0,3.0,2295.0,8.0,39.0,9.0,1402.0,12.0,30.0,10.0,2080.0,14.0,26.0,7.0,1661.0,3.0,25.0,0.0
Left Winger,Mislav Orsic,179.0,right,Süper Lig,Trabzonspor,343.0,0.0,8.0,1.0,59.0,0.0,8.0,0.0,2081.0,13.0,33.0,8.0,4080.0,20.0,50.0,6.0,3964.0,24.0,51.0,9.0,3424.0,21.0,43.0,10.0,3134.0,13.0,44.0,7.0,1560.0,8.0,21.0,5.0,3528.0,13.0,49.0,6.0
Right Winger,Ángel Di María,178.0,left,Liga Portugal,SL Benfica,1052.0,8.0,16.0,5.0,3988.0,17.0,48.0,15.0,2248.0,8.0,40.0,7.0,1915.0,5.0,31.0,9.0,2950.0,6.0,43.0,18.0,3250.0,13.0,41.0,23.0,3498.0,19.0,45.0,17.0,3119.0,21.0,45.0,12.0,3091.0,14.0,43.0,15.0
Forward,Odsonne Edouard,187.0,right,Premier League,Leicester City,229.0,0.0,8.0,0.0,1722.0,8.0,33.0,0.0,1947.0,7.0,37.0,2.0,2288.0,9.0,42.0,5.0,3032.0,22.0,40.0,6.0,3831.0,29.0,47.0,18.0,3417.0,22.0,52.0,8.0,1418.0,13.0,31.0,4.0,638.0,1.0,17.0,0.0
Forward,Ali Sowe,191.0,right,Süper Lig,Caykur Rizespor,896.0,3.0,12.0,0.0,2313.0,6.0,30.0,4.0,3152.0,16.0,36.0,4.0,901.0,4.0,19.0,1.0,3417.0,17.0,39.0,2.0,3320.0,16.0,41.0,5.0,1996.0,17.0,33.0,3.0,3541.0,26.0,43.0,6.0,2511.0,6.0,34.0,1.0
Right Winger,Phil Foden,171.0,left,Premier League,Manchester City,1071.0,3.0,16.0,2.0,4276.0,27.0,53.0,12.0,2660.0,15.0,48.0,8.0,3184.0,14.0,45.0,11.0,3376.0,16.0,50.0,10.0,1772.0,8.0,38.0,9.0,1110.0,7.0,26.0,2.0,1409.0,7.0,22.0,7.0,2429.0,14.0,30.0,7.0
Forward,Dylan Vente,185.0,right,Eredivisie,PEC Zwolle,1449.0,7.0,19.0,1.0,2428.0,8.0,37.0,4.0,3473.0,21.0,39.0,6.0,3482.0,25.0,42.0,7.0,1323.0,6.0,21.0,3.0,1202.0,1.0,21.0,0.0,1321.0,7.0,25.0,2.0,2239.0,15.0,33.0,4.0,2594.0,20.0,31.0,1.0
Forward,Raúl de Tomás,180.0,right,LaLiga,Rayo Vallecano,90.0,2.0,1.0,0.0,1477.0,2.0,28.0,2.0,804.0,4.0,19.0,0.0,3090.0,17.0,36.0,3.0,3065.0,23.0,38.0,3.0,2146.0,8.0,32.0,1.0,2849.0,14.0,34.0,1.0,2515.0,24.0,32.0,4.0,2136.0,15.0,39.0,2.0
